n =     86400, m =         1, tolerance =  1.00000000000000002E-03
iter, f0val, fval(1), KKTmax, KKTnorm2, scalingfactor
  0,  5.36962096340407484E+01, -3.41137162383770287E-01,  1.79769313486231571+308,  1.79769313486231571+308,  1.00000000000000000E+00
  1,  5.36962096340407484E+01, -3.33495081528522974E-01,  4.57985898984358755E+03,  2.84451836494042655E+05,  1.00000000000000000E+00
  2,  7.18955577678891871E+01, -3.53309380048665467E-01,  9.95130395177100922E+02,  4.83534759104943514E+04,  1.00000000000000000E+00
  3,  5.47508426629735396E+01, -3.53524538128374199E-01,  2.12696851017294739E+03,  1.33917576680456288E+05,  1.00000000000000000E+00
  4,  5.45188730956564243E+01, -3.54117821980632075E-01,  2.47831493726489498E+02,  4.83007900158569828E+03,  1.00000000000000000E+00
  5,  5.41308499958134348E+01, -3.54476618525434051E-01,  2.89057601475668093E+02,  4.76277844123348859E+03,  1.00000000000000000E+00
  6,  5.37823955810402694E+01, -3.55438085422779049E-01,  2.97186372435415706E+02,  4.54449236854158062E+03,  1.00000000000000000E+00
  7,  5.34539401610537723E+01, -3.55709403051336082E-01,  2.38097661681863570E+02,  4.12812138908148609E+03,  1.00000000000000000E+00
  8,  5.31756795483433535E+01, -3.55983010876793238E-01,  2.52547206409017349E+02,  3.73771774490994721E+03,  1.00000000000000000E+00
  9,  5.29484757828664740E+01, -3.55997534185596820E-01,  2.59792855796510423E+02,  3.58549804608088562E+03,  1.00000000000000000E+00
 10,  5.27061148887533051E+01, -3.55935670494460454E-01,  2.72199668717487214E+02,  3.83788445817331194E+03,  1.00000000000000000E+00
