n =     86400, m =         1, tolerance =  1.00000000000000002E-03
iter, f0val, fval(1), KKTmax, KKTnorm2, scalingfactor
  0,  5.36962096340613328E+01, -3.41137159403539725E-01,  1.79769313486231571+308,  1.79769313486231571+308,  1.00000000000000000E+00
  1,  5.36962096340613328E+01, -3.33495078548324164E-01,  4.57985868778408440E+03,  2.84451904950988654E+05,  1.00000000000000000E+00
  2,  7.18955577679334112E+01, -3.53309377819869819E-01,  9.95129141349036104E+02,  4.83534972152058908E+04,  1.00000000000000000E+00
  3,  5.47508420524183705E+01, -3.53524535865562650E-01,  2.12696792581523005E+03,  1.33917627740118565E+05,  1.00000000000000000E+00
  4,  5.45188725311162443E+01, -3.54117820121201077E-01,  2.47831903115544804E+02,  4.83007985644300425E+03,  1.00000000000000000E+00
  5,  5.41308490430852842E+01, -3.54476618632245000E-01,  2.89058058384839683E+02,  4.76278531726763140E+03,  1.00000000000000000E+00
  6,  5.37823944764572630E+01, -3.55438087502548128E-01,  2.97186209386940106E+02,  4.54449328593372047E+03,  1.00000000000000000E+00
  7,  5.34539389463405428E+01, -3.55709405092740072E-01,  2.38098087422394428E+02,  4.12813078542227959E+03,  1.00000000000000000E+00
  8,  5.31756785268417005E+01, -3.55983013983517949E-01,  2.52547577686029229E+02,  3.73771765616260382E+03,  1.00000000000000000E+00
  9,  5.29484747915177962E+01, -3.55997536866915598E-01,  2.59793289622007705E+02,  3.58550263252780360E+03,  1.00000000000000000E+00
 10,  5.27061138137990497E+01, -3.55935672925855262E-01,  2.72200200627310835E+02,  3.83788959812464509E+03,  1.00000000000000000E+00
