n =     86400, m =         1, tolerance =  1.00000000000000002E-03
iter, f0val, fval(1), KKTmax, KKTnorm2, scalingfactor
  0,  5.36962096340586683E+01, -3.41137159403508528E-01,  1.79769313486231571+308,  1.79769313486231571+308,  1.00000000000000000E+00
  1,  5.36962096340586683E+01, -3.33495078548313506E-01,  4.57985807158852731E+03,  2.84451821943741175E+05,  1.00000000000000000E+00
  2,  7.18955577679399198E+01, -3.53309377900210220E-01,  9.95130516276486901E+02,  4.83534619908056993E+04,  1.00000000000000000E+00
  3,  5.47508431111468070E+01, -3.53524539437664709E-01,  2.12696834454821965E+03,  1.33917558371420659E+05,  1.00000000000000000E+00
  4,  5.45188739691563811E+01, -3.54117822645817371E-01,  2.47831728873048917E+02,  4.83008222278224548E+03,  1.00000000000000000E+00
  5,  5.41308508793465464E+01, -3.54476618766730089E-01,  2.89057820192029624E+02,  4.76278020605193797E+03,  1.00000000000000000E+00
  6,  5.37823965516641493E+01, -3.55438085450498154E-01,  2.97186772269342498E+02,  4.54449286466075591E+03,  1.00000000000000000E+00
  7,  5.34539411084519358E+01, -3.55709403571533578E-01,  2.38097928196424164E+02,  4.12812441808234325E+03,  1.00000000000000000E+00
  8,  5.31756804031718531E+01, -3.55983012773399277E-01,  2.52547521879907094E+02,  3.73771486507324244E+03,  1.00000000000000000E+00
  9,  5.29484767067694833E+01, -3.55997536268663595E-01,  2.59793217324870398E+02,  3.58550061924233432E+03,  1.00000000000000000E+00
 10,  5.27061159308441418E+01, -3.55935674298107907E-01,  2.72200106044863219E+02,  3.83788418477954656E+03,  1.00000000000000000E+00
