n =     86400, m =         1, tolerance =  1.00000000000000002E-03
iter, f0val, fval(1), KKTmax, KKTnorm2, scalingfactor
  0,  5.36962096340628534E+01, -3.41137159403559487E-01,  1.79769313486231571+308,  1.79769313486231571+308,  1.00000000000000000E+00
  1,  5.36962096340628534E+01, -3.33495078548347590E-01,  4.57985812983280448E+03,  2.84451842819485813E+05,  1.00000000000000000E+00
  2,  7.18955577679429183E+01, -3.53309379149724712E-01,  9.95130070401626540E+02,  4.83534607407647272E+04,  1.00000000000000000E+00
  3,  5.47508428294384117E+01, -3.53524540311783597E-01,  2.12696824484961326E+03,  1.33917552986509865E+05,  1.00000000000000000E+00
  4,  5.45188732783303465E+01, -3.54117823859325109E-01,  2.47831768978989373E+02,  4.83008142212612711E+03,  1.00000000000000000E+00
  5,  5.41308500831123780E+01, -3.54476622644437911E-01,  2.89057872213150915E+02,  4.76277920587732388E+03,  1.00000000000000000E+00
  6,  5.37823957642607553E+01, -3.55438089875894758E-01,  2.97186274886570175E+02,  4.54449294811288655E+03,  1.00000000000000000E+00
  7,  5.34539403371811375E+01, -3.55709408268983451E-01,  2.38097965004363772E+02,  4.12812495205827236E+03,  1.00000000000000000E+00
  8,  5.31756799710236550E+01, -3.55983018987026889E-01,  2.52547522085330058E+02,  3.73771517120094995E+03,  1.00000000000000000E+00
  9,  5.29484763934517630E+01, -3.55997541245638205E-01,  2.59793241430313230E+02,  3.58550039797084492E+03,  1.00000000000000000E+00
 10,  5.27061155378723214E+01, -3.55935680285416223E-01,  2.72200122708783567E+02,  3.83788505208953984E+03,  1.00000000000000000E+00
